288  *  352401  *  Joni Mitchell, 'Help Me'*    *   Feb. &apos;74, Asylum
287  *  352402  *  Stevie Wonder, 'You Are the Sunshine of My Life'*  Wonder  *  Nov. &apos;72, Tamla
286  *  352403  *  The White Stripes, 'Seven Nation Army'*  Jack White  *   April &apos;03, V2/Third Man
285  *  352404  *  Bill Withers, 'Ain't No Sunshine'*  Withers  *   July &apos;71, Sussex
284  *  352405  *  The Dixie Cups, 'Chapel of Love'*  Jeff Barry, Ellie Greenwich, Phil Spector  *   June &apos;64, Red Bird
283  *  352406  *  The Cure, 'Pictures of You'*   Robert Smith, Simon Gallup, Boris Williams, Porl Thompson, Roger O&apos;Donnell, Lol Tolhurst  *  May &apos;89, Elektra
282  *  352407  *  David Bowie, 'Ziggy Stardust'*    *   June &apos;72, RCA
281  *  352408  *  The Staple Singers, I'll Take You There*  Alvertis Isbell (Al Bell)  *   June &apos;72, Stax
280  *  352410  *  Bruce Springsteen, 'Born in the U.S.A.'*   Springsteen  *   June &apos;84, Columbia
279  *  352409  *  Jefferson Airplane, 'Somebody to Love'*  Darby Slick  *   Feb. &apos;67, RCA
278  *  352411  *  The Beatles, 'Something'*     *  Oct. &apos;69, Apple
277  *  352412  *  Chuck Berry, 'Sweet Little Sixteen'*     *  Jan. &apos;58, Chess
276  *  352413  *  The Beach Boys, 'Sloop John B'*   Traditional, Brian Wilson  *   March &apos;66, Capitol
275  *  352416  *  George Jones, 'He Stopped Loving Her Today'*   Bobby Braddock,Curly Putnam  *   March &apos;80, Epic
274  *  352415  *  The Modern Lovers, 'Roadrunner'*  Jonathan Richman  *   Oct.&#xA0;&apos;76, Beserkley
273  *  352414  *  Kanye West, 'Jesus Walks'*     *   Feb. &apos;04, Roc-a-Fella
272  *  352417  *  U2, 'Sunday Bloody Sunday'*  Bono, the Edge, Adam Clayton, Larry Mullen Jr.  *   March &apos;83, Island
271  *  352418  *  New York Dolls, 'Personality Crisis'*  David Johansen, Johnny Thunders  *   Aug. &apos;73, Mercury
270  *  352420  *  Archie Bell and The Drells, 'Tighten Up'*   Bell, Billy Butler  *   March &apos;68, Atlantic
269  *  352419  *  The Ronettes, 'Walking in the Rain'*  Barry Mann, Cynthia Weil,   *  Oct. &apos;64, Philles
268  *  352421  *  Randy Newman, 'Sail Away'*     *  June &apos;72, Reprise
267  *  352422  *  The Crystals, 'He's A Rebel'*   Gene Pitney  *   Aug. &apos;62, Philles
266  *  352423  *  Smokey Robinson and The Miracles, 'Ooo Baby Baby'*    *  March &apos;65, Tamla
265  *  352424  *  Stevie Wonder, 'Higher Ground'*     *   Aug. &apos;73, Tamla
