year,ranking,album,writer
1979,147,The B 52's 'Rock Lobster',Fred Schneider  Ricky Wilson
1979,229,Chic 'Good Times',Nile Rodgers  Bernard Edwards
1979,251,Sugarhill Gang 'Rapper's Delight',S. Robinson  H. Jackson  M. Wright  G. O Brien
1979,258,AC/DC 'Highway to Hell',Angus Young  Malcolm Young  Bon Scott
1979,290,Elvis Costello and the Attractions '(What's So Funny About) Peace Love and Understanding',Nick Lowe
1979,298,The Clash 'Train in Vain',Mick Jones  Joe Strummer
1979,321,Pink Floyd 'Comfortably Numb',David Gilmour  Roger Waters
1979,331,Patti Smith Group 'Dancing Barefoot',Smith  Ivan Kral
1979,371,The Clash 'Complete Control',Mick Jones  Joe Strummer
1979,384,Pink Floyd 'Another Brick in the Wall Part 2',Roger Waters
1979,398,The Police 'Roxanne',Sting
1979,437,The Clash '(White Man) In Hammersmith Palais',Mick Jones  Joe Strummer
1980,15,The Clash 'London Calling',Mick Jones  Joe Strummer
1980,66,Bob Marley and the Wailers 'Redemption Song',Marley
1980,181,Joy Division 'Love Will Tear Us Apart',Ian Curtis  Peter Hook  Stephen Morris  Bernard Sumner
1980,190,AC/DC 'Back in Black',Angus Young  Malcolm Young  Brian Johnson
1980,275,George Jones 'He Stopped Loving Her Today',Bobby Braddock Curly Putnam
1980,289,Blondie 'Call Me',Giorgio Moroder  Deborah Harry
1980,313,The Jam 'That's Entertainment',Paul Weller
1981,481,Rick James 'Super Freak',James  Alonzo Miller
1982,51,Grandmaster Flash and the Furious Five 'The Message',Duke Bootee  Melle Mel
1982,215,Prince '1999',Prince
1982,228,The Clash 'Should I Stay or Should I Go',The Clash
1982,233,Marvin Gaye 'Sexual Healing',Gaye  Odell Brown  David Ritz
1982,240,Afrika Bambaataa and the Soul Sonic Force 'Planet Rock',Bambaataa  John Robie  the Soul Sonic Force
1982,344,Michael Jackson 'Beat It',Jackson
1982,491,Joan Jett and the Blackhearts 'I Love Rock 'N Roll',Jake Hooker  Alan Merrill
1983,58,Michael Jackson 'Billie Jean',Jackson
1983,84,The Police 'Every Breath You Take',Sting
1983,109,Prince 'Little Red Corvette',Prince
1983,272,U2 'Sunday Bloody Sunday',Bono  the Edge  Adam Clayton  Larry Mullen Jr.
1983,365,Eurythmics 'Sweet Dreams (Are Made of This)',Annie Lennox  Dave Stewart
1983,389,R.E.M. 'Radio Free Europe',R.E.M.
1983,435,U2 'New Year's Day',Bono  the Edge  Adam Clayton  Larry Mullen Jr.
1983,447,John Cougar Mellencamp 'Pink Houses',Mellencamp
1984,52,Prince 'When Doves Cry',Prince
1984,144,Prince and the Revolution 'Purple Rain',Prince
1984,280,Bruce Springsteen 'Born in the U.S.A.',Springsteen
1984,316,Tina Turner 'What's Love Got to Do With It',Terry Britten  Graham Lyle
1984,388,U2 'Pride (In the Name of Love)',Bono  the Edge  Adam Clayton  Larry Mullen Jr.
1984,423,Don Henley 'The Boys of Summer',Henley  Mike Campbell
1984,431,The Smiths 'William It Was Really Nothing',Johnny Marr  Morrissey
1984,479,Foreigner 'I Want to Know What Love Is',Mick Jones
1985,477,The Smiths 'How Soon Is Now?',Johnny Marr  Morrissey
1986,204,New Order 'Bizarre Love Triangle',Bernard Albrecht  Gillian Gilbert  Peter Hook  Stephen Morris
1986,293,Run DMC 'Walk This Way',Steven Tyler  Joe Perry
1986,464,Prince and the Revolution 'Kiss',Prince and the Revolution
1987,93,U2 'I Still Haven't Found What I'm Looking For',Bono
1987,132,U2 'With or Without You',Bono  the Edge  Adam Clayton  Larry Mullen Jr.
1987,198,Guns n' Roses 'Sweet Child O'Mine',Guns n  Roses
1987,304,Prince 'Sign 'O' The Times',Prince
1987,396,Eric B. and Rakim 'Know You Got Soul',Eric B. and Rakim
1987,446,Salt 'n Pepa 'Push It',Hurby  Luv Bug  Azor
1987,459,Guns N' Roses 'Paradise City',Guns n  Roses
1987,473,Guns N' Roses 'Welcome to the Jungle',Guns n  Roses
1987,488,The Cure 'Just Like Heaven',Robert Smith  Simon Gallup  Porl Thompson  Lol Tolhurst  Boris Williams
1988,162,Public Enemy 'Bring the Noise',Carlton Ridenhour  Eric Sadler  Hank Shocklee
1988,167,Tracy Chapman 'Fast Car',Chapman
1989,179,Tom Petty 'Free Fallin'',Petty  Jeff Lynne
1989,216,Neil Young 'Rockin' in the Free World',Young
1989,246,The B 52's 'Love Shack',Kate Pierson  Fred Schneider  Keith Strickland  Cindy Wilson
1989,283,The Cure 'Pictures of You',Robert Smith  Simon Gallup  Boris Williams  Porl Thompson  Roger O Donnell  Lol Tolhurst
1989,306,Madonna 'Like A Prayer',Madonna  Patrick Leonard
1989,330,Public Enemy 'Fight the Power',Chuck D  Eric Sadler  Hank Shocklee  Keith Shocklee
1989,377,Depeche Mode 'Personal Jesus',Martin Gore
1989,417,Pixies 'Monkey Gone to Heaven',Black Francis
1989,425,N.W.A 'Fuck tha Police',Ice Cube  MC Ren
1990,165,Sinead O'Connor 'Nothing Compares 2 U',Prince
1991,9,Nirvana 'Smells Like Teen Spirit',Kurt Cobain
1991,36,U2 'One',Bono  the Edge  Adam Clayton  Larry Mullen Jr.
1991,170,R.E.M. 'Losing My Religion',Berry  Buck  Mills  Stipe
1991,339,Bonnie Raitt 'I Can't Make You Love Me',Mike Reid  Allen Shamblin
1991,408,Metallica 'Enter Sandman',James Hetfield  Lars Ulrich  Kirk Hammett
1991,415,Nirvana 'In Bloom',Kurt Cobain
1991,452,Nirvana 'Come As You Are',Kurt Cobain  Nirvana
1992,292,Pavement 'Summer Babe (Winter Version)',Stephen Malkmus
1992,362,Eric Clapton 'Tears in Heaven',Clapton  Will Jennings
1993,203,Beck 'Loser',Beck Hansen
1993,427,Dr. Dre 'Nuthin' But a 'G' Thang',Snoop Dogg
1993,462,Nirvana 'All Apologies',Kurt Cobain
1994,264,Jeff Buckley 'Hallelujah',Leonard Cohen
1994,424,The Notorious B.I.G. 'Juicy',The Notorious B.I.G.
1994,480,Beastie Boys 'Sabotage',Beastie Boys
1994,499,Weezer 'Buddy Holly',Rivers Cuomo
1995,385,Radiohead 'Fake Plastic Trees',Radiohead
1996,355,Dr. Dre and 2Pac 'California Love',Dr. Dre  Chris Stainton  Roger Troutman  Larry Troutman  2Pac
1997,257,Radiohead 'Paranoid Android',Thom Yorke
1997,392,The Verve 'Bitter Sweet Symphony',Mick Jagger  Keith Richards  Richard Ashcroft
1999,467,Jay Z Featuring UGK 'Big Pimpin'',Jay-Z  Bun B  Pimp C  Timbaland  Kyambo Joshua
2000,296,Eminem feat. Dido 'Stan',Marshall Mathers D. Armstrong  P. Herman
2000,307,Daft Punk 'One More Time',Thomas Bangalter  Guy-Manuel de Homem-Christo  Anthony Moore
2000,345,U2 'Beautiful Day',U2
2001,260,Bob Dylan 'Mississippi',Dylan
2001,466,Missy Elliott 'Get Ur Freak On',Elliott  Timbaland
2001,478,The Strokes 'Last Nite',Julian Casablancas
2002,448,50 Cent 'In Da Club',50 Cent  Dr. Dre  Mike Elizondo
2002,484,Justin Timberlake 'Cry Me a River',Timbaland  Scott Storch  Timberlake
2002,490,Coldplay 'Clocks',Coldplay
2002,494,R. Kelly 'Ignition (Remix)',Kelly
2002,497,Bruce Springsteen 'The Rising',Springsteen
2003,118,Beyonce feat. Jay Z 'Crazy in Love',Rich Harrison  Beyonce  Jay-Z
2003,172,Jay Z '99 Problems',Jay-Z  Rick Rubin
2003,182,OutKast 'Hey Ya!',Andr  3000
2003,286,The White Stripes 'Seven Nation Army',Jack White
2004,273,Kanye West 'Jesus Walks',Kanye West  Rhymefest
2004,327,Franz Ferdinand 'Take Me Out',Alex Kapranos  Nick McCarthy
2004,386,Yeah Yeah Yeahs 'Maps',Yeah Yeah Yeahs
2004,432,Green Day 'American Idiot',Green Day
2004,482,Kelly Clarkson 'Since U Been Gone',Dr. Luke  Max Martin
2006,100,Gnarls Barkley 'Crazy',Brian Burton  Thomas Calloway  Gianfranco Reverberi  Gian Piero Reverberi
2007,194,Amy Winehouse 'Rehab',Winehouse
2007,236,M.I.A. 'Paper Planes',M.I.A.  Diplo
2007,412,Rihanna Featuring Jay Z 'Umbrella',The-Dream  Kuk Harrell  Jay-Z  Christopher  Tricky  Stewart
2008,493,MGMT 'Time to Pretend',Ben Goldwasser  Andrew VanWyngarden
2009,160,U2 'Moment of Surrender',Bono  the Edge  Adam Clayton  Larry Mullen Jr.
