year,ranking,album,writer
1961,122,Ben E. King 'Stand By Me',King  Elmo Glick  Jerry Leiber  Mike Stoller
1961,241,Patsy Cline 'I Fall to Pieces',Hank Cochran
1961,243,Dion 'The Wanderer',Ernie Maresca
1961,351,Dion 'Runaround Sue',Dion DiMucci  Ernie Maresca
1961,387,Ray Charles 'Hit the Road Jack',Percy Mayfield
1961,403,Elvis Presley 'Can't Help Falling in Love',George Weiss  Hugo Peretti  Luigi Creatore
1961,458,Sam Cooke 'Cupid',Cooke
1961,472,Del Shannon 'Runaway',Shannon  Max Crook
1962,114,The Drifters 'Up on the Roof',Gerry Goffin  Carole King
1962,164,Ray Charles 'I Can't Stop Loving You',Don Gibson
1962,183,Booker T. and the MG's 'Green Onions',Booker T. Jones  Steve Cropper  Lewis Steinberg  Al Jackson
1962,220,John Lee Hooker 'Boom Boom',Hooker
1962,267,The Crystals 'He's A Rebel',Gene Pitney
1962,359,Little Eva 'The Loco Motion',Gerry Goffin  Carole King
1963,14,Bob Dylan 'Blowin' in the Wind',Dylan
1963,16,The Beatles 'I Want to Hold Your Hand',John Lennon  Paul McCartney
1963,22,The Ronettes 'Be My Baby',Jeff Barry  Ellie Greenwich  Phil Spector
1963,54,The Kingsmen 'Louie Louie',Richard Berry
1963,64,The Beatles 'She Loves You', John Lennon  Paul McCartney 
1963,87,Johnny Cash 'Ring of Fire',June Carter  Merle Kilgore
1963,212,The Beach Boys 'In My Room',Brian Wilson  Gary Usher
1963,319,Roy Orbison 'In Dreams',Joe Melson  Orbison
1964,12,Sam Cooke 'A Change Is Gonna Come',Cooke
1964,34,The Righteous Brothers 'You've Lost That Lovin' Feelin'',Phil Spector  Barry Mann  Cynthia Weil
1964,40,Martha Reeves and the Vandellas 'Dancing in the Street',Marvin Gaye  Ivy Hunter  William  Mickey  Stevenson
1964,59,Bob Dylan 'The Times They Are A Changin',Dylan
1964,70,Dionne Warwick 'Walk On By',Burt Bacharach  Hal David
1964,80,The Kinks 'You Really Got Me',Ray Davies
1964,123,The Animals 'The House of the Rising Sun',Alan Price
1964,140,The Beatles 'I Saw Her Standing There',John Lennon Paul McCartney
1964,154,The Beatles 'A Hard Day's Night',John Lennon  Paul McCartney
1964,178,The Beach Boys 'Don't Worry Baby',Brian Wilson  Roger Christian
1964,186,The Beatles 'Please Please Me',John Lennon  Paul McCartney
1964,224,Roy Orbison 'Oh Pretty Woman',Orbison  Billy Dees
1964,269,The Ronettes 'Walking in the Rain',Barry Mann  Cynthia Weil 
1964,284,The Dixie Cups 'Chapel of Love',Jeff Barry  Ellie Greenwich  Phil Spector
1964,295,The Beatles 'Can't Buy Me Love',John Lennon  Paul McCartney
1964,297,The Zombies 'She's Not There',Rod Argent
1964,332,The Supremes 'Baby Love',Brian Holland Lamont Dozier  Eddie Holland
1964,400,The Four Tops 'Baby I Need Your Loving',Brian Holland  Lamont Dozier  Eddie Holland
1964,404,The Shangri Las 'Remember (Walkin' in the Sand)',George  Shadow  Morton
1964,436,Solomon Burke 'Everybody Needs Somebody to Love',Burke  Bert Berns  Jerry Wexler
1964,454,The Shangri Las 'Leader of the Pack',George  Shadow  Morton  Jeff Barry  Ellie Greenwich
1964,475,The Supremes 'Where Did Our Love Go',Brian Holland  Lamont Dozier  Eddie Holland
1964,489,The Drifters 'Under the Boardwalk',Arthur Resnick  Kenny Young
1965,1,Bob Dylan 'Like a Rolling Stone',Dylan
1965,2,The Rolling Stones '(I Can't Get No) Satisfaction',Mick Jagger  Keith Richards
1965,11,The Who 'My Generation',Pete Townshend
1965,13,The Beatles 'Yesterday',John Lennon  Paul McCartney
1965,23,The Beatles 'In My Life',John Lennon  Paul McCartney
1965,24,The Impressions 'People Get Ready',Curtis Mayfield
1965,29,The Beatles 'Help!',John Lennon  Paul McCartney
1965,50,Smokey Robinson and the Miracles 'The Tracks of My Tears',Pete Moore  Robinson  Marv Tamplin
1965,72,The Beach Boys 'California Girls',Brian Wilson  Mike Love
1965,78,James Brown 'I Got You (I Feel Good)',Brown
1965,79,The Byrds 'Mr. Tambourine Man',Bob Dylan
1965,83,The Beatles 'Norwegian Wood (This Bird Has Flown)',John Lennon  Paul McCartney
1965,88,The Temptations 'My Girl',Smokey Robinson  Ronald White
1965,89,The Mamas and the Papas 'California Dreamin'',John and Michelle Phillips
1965,107,Bob Dylan 'Mr. Tambourine Man',Dylan
1965,111,Otis Redding 'I've Been Loving You too Long (to Stop Now)',Jerry Butler  Redding
1965,135,Wilson Pickett 'In the Midnight Hour',Pickett  Steve Cropper
1965,153,The Jimi Hendrix Experience 'Foxey Lady',Hendrix
1965,157,Simon and Garfunkel 'The Sounds of Silence',Paul Simon
1965,187,Bob Dylan 'Desolation Row',Dylan
1965,206,Bob Dylan 'Positively 4th Street',Dylan
1965,211,Them 'Gloria',Van Morrison
1965,218,The Lovin' Spoonful 'Do You Believe in Magic',John Sebastian
1965,235,The Animals 'We Gotta Get Out of This Place',Barry Mann  Cynthia Weil
1965,237,The Byrds 'I'll Feel a Whole Lot Better',Gene Clark
1965,266,Smokey Robinson and The Miracles 'Ooo Baby Baby',Robinson Warren Moore
1965,322,The Animals 'Don't Let Me Be Misunderstood',Bennie Benjamin  Sol Marcus Gloria Caldwell
1965,340,Bob Dylan 'Subterranean Homesick Blues',Dylan
1965,367,Martha and the Vandellas 'Nowhere to Run',Brian Holland  Lamont Dozier  Eddie Holland
1965,373,Bob Dylan 'Highway 61 Revisited',Dylan
1965,374,The Righteous Brothers 'Unchained Melody',Alex North  Hy Zaret
1965,380,The Who 'I Can't Explain',Pete Townshend
1965,394,The Beatles 'Ticket to Ride',John Lennon  Paul McCartney
1965,422,The Four Tops 'Can't Help Myself',Eddie Holland  Lamont Dozier  Brian Holland
1965,451,Sonny and Cher 'I Got You Babe',Sonny Bono
1966,6,The Beach Boys 'Good Vibrations',Brian Wilson  Mike Love
1966,25,The Beach Boys 'God Only Knows',Brian Wilson  Tony Asher
1966,33,Ike and Tina Turner 'River Deep   Mountain High',Phil Spector  Jeff Barry  Ellie Greenwich
1966,53,Percy Sledge 'When a Man Loves a Woman',Calvin Lewis  Andrew Wright
1966,71,James Brown 'Papa's Got A Brand New Bag',Brown
1966,124,James Brown 'It's A Man's Man's Man's World',Brown  Betty Jean Newsome
1966,138,The Beatles 'Eleanor Rigby',John Lennon  Paul McCartney
1966,151,The Byrds 'Eight Miles High',Gene Clark  Roger McGuinn  David Crosby
1966,176,The Rolling Stones 'Paint it Black',Mick Jagger  Keith Richards
1966,177,The Bobby Fuller Four 'I Fought the Law',Sonny Curtis  Fuller
1966,201,The Jimi Hendrix Experience 'Hey Joe',William Roberts
1966,207,Otis Redding 'Try a Little Tenderness',Jimmy Campbell  Reginald Connelly  Harry Woods
1966,209,The Four Tops 'Reach Out I'll Be There',Eddie Holland  Lamont Dozier  Brian Holland
1966,213,? and the Mysterians '96 Tears',Rudy Martinez
1966,214,The Beach Boys 'Caroline No',Brian Wilson  Tony Asher
1966,222,The Left Banke 'Walk Away Renee',Michael Brown  Bob Calilli  Tony Sansone
1966,232,Bob Dylan 'Just Like a Woman',Dylan
1966,247,The Spencer Davis Group 'Gimme Some Lovin'',Davis  Steve Winwood  Muff Winwood
1966,261,The Troggs 'Wild Thing',Chip Taylor
1966,276,The Beach Boys 'Sloop John B',Traditional  Brian Wilson
1966,333,The Young Rascals 'Good Lovin'',Rudy Clark  Arthur Resnick
1966,348,The Supremes 'You Keep Me Hanging On',Brian Holland Lamont Dozier  Eddie Holland
1966,391,Aaron Neville 'Tell It Like It Is',George Davis  Lee Diamond
1966,401,The Lovin' Spoonful 'Summer in the City',John Sebastian  Steve Boone  Mark Sebastian
1966,413,Bob Dylan 'Visions of Johanna',Dylan
1966,441,Wilson Pickett 'Mustang Sally',Sir Mack Rice
1966,469,The Beatles 'Rain',John Lennon  Paul McCartney
1966,470,The Four Tops 'Standing in the Shadows of Love',Brian Holland  Lamont Dozier  Eddie Holland
1967,5,Aretha Franklin 'Respect',Otis Redding
1967,17,The Jimi Hendrix Experience 'Purple Haze',Hendrix
1967,28,The Beatles 'A Day in the Life',John Lennon  Paul McCartney
1967,35,The Doors 'Light My Fire',Robby Krieger  John Densmore  Jim Morrison  Ray Manzarek
1967,57,Procol Harum 'Whiter Shade of Pale',Keith Reid  Gary Brooker
1967,63,Buffalo Springfield 'For What It's Worth',Stephen Stills
1967,76,The Beatles 'Strawberry Fields Forever',John Lennon  Paul McCartney
1967,110,Van Morrison 'Brown Eyed Girl',Morrison
1967,161,The Velvet Underground 'I'm Waiting for the Man',Lou Reed
1967,189,Aretha Franklin 'I Never Loved a Man (the Way I Love You)',Ronny Shannon
1967,248,Jackie Wilson '(Your Love Keeps Lifting Me) Higher and Higher',Gary Jackson  Raynard Miner  Carl Smith
1967,252,Aretha Franklin 'Chain of Fools',Don Covay
1967,262,The Who 'I Can See For Miles',Pete Townshend
1967,279,Jefferson Airplane 'Somebody to Love',Darby Slick
1967,310,The Rolling Stones 'Ruby Tuesday',Mick Jagger  Keith Richards
1967,311,The Beatles 'With a Little Help From My Friends',John Lennon  Paul McCartney
1967,336,The Doors 'The End',John Densmore  Robbie Krieger  Ray Manzarek  Jim Morrison
1967,370,The Beatles 'All You Need is Love',John Lennon  Paul McCartney
1967,372,The Box Tops 'The Letter',Wayne Carson Thompson
1967,379,The Jimi Hendrix Experience 'The Wind Cries Mary',Hendrix
1967,419,Bobbie Gentry 'Ode to Billie Joe',Gentry
1967,455,The Velvet Underground 'Heroin',Lou Reed
1967,456,The Beatles 'Penny Lane',John Lennon  Paul McCartney
1967,463,Sam and Dave 'Soul Man',Isaac Hayes  David Porter
1967,476,Aretha Franklin 'Do Right Woman - Do Right Man',Chips Moman  Dan Penn
1967,483,Jefferson Airplane 'White Rabbit',Grace Slick
1968,8,The Beatles 'Hey Jude',John Lennon  Paul McCartney
